xenbase_gene_id,S20_C_5,S20_C_6,S20_C_A,S20_F_5,S20_F_6,S20_F_A
XB-GENE-1005838,100,62,76,62,97,115
XB-GENE-1005870,63,8,13,20,15,22
XB-GENE-1005886,1,3,3,3,2,4
XB-GENE-1005907,23,8,22,14,37,47
XB-GENE-1005938,210,137,118,159,122,218
XB-GENE-1005955,1,1,2,2,0,7
XB-GENE-1005966,104,43,52,77,87,103
XB-GENE-1006009,0,0,3,14,25,49
XB-GENE-1006032,932,455,538,663,611,868
XB-GENE-1006047,8,2,9,2,3,7
XB-GENE-1006067,25,13,35,10,13,49
XB-GENE-1006081,31,24,21,14,26,60
XB-GENE-1006101,177,84,94,127,180,206
XB-GENE-1006110,100,41,34,53,57,76
XB-GENE-1006122,33,11,23,11,23,33
XB-GENE-1006134,900,348,433,532,510,821
XB-GENE-1006159,188,82,93,130,125,184
XB-GENE-1006181,156,73,82,99,130,120
XB-GENE-1006193,33,18,16,18,35,66
XB-GENE-1006209,260,213,250,177,514,499
XB-GENE-1006260,62,26,39,47,46,65
XB-GENE-1006271,205,125,143,129,186,204
XB-GENE-1006309,823,350,614,692,667,1112
XB-GENE-1006336,549,291,360,292,384,546
XB-GENE-1006367,57,27,40,39,59,65
XB-GENE-1006378,181,20,0,84,92,2
XB-GENE-1006390,85,38,45,60,69,107
XB-GENE-1006409,221,102,97,147,151,243
XB-GENE-1006426,197,104,156,122,162,254
XB-GENE-1006438,0,0,0,0,0,10
XB-GENE-1006461,29,13,9,15,28,36
XB-GENE-1006529,4,2,3,3,5,8
XB-GENE-1006541,408,229,403,325,415,792
XB-GENE-1006600,374,143,169,211,254,324
XB-GENE-1006620,633,248,403,466,471,678
XB-GENE-1006643,2595,1348,1827,1825,2239,2469
XB-GENE-1006655,325,181,174,167,282,133
XB-GENE-1006686,36,20,37,30,31,44
XB-GENE-1006695,188,56,79,109,78,101
XB-GENE-1006717,75,29,22,34,35,54
XB-GENE-1006737,113,47,99,70,82,118
XB-GENE-1006757,157,78,89,115,117,171
XB-GENE-1006781,55,23,36,39,42,70
XB-GENE-1006792,749,346,478,398,448,735
XB-GENE-1006800,17,13,7,8,10,19
XB-GENE-1006818,54,22,28,24,29,48
XB-GENE-1006830,964,638,705,557,693,870
XB-GENE-1006841,290,159,225,161,230,265
XB-GENE-1006863,125,51,86,66,79,137
XB-GENE-1006876,0,0,0,0,1,2
XB-GENE-1006885,314,169,235,183,237,375
XB-GENE-1006898,436,146,226,269,309,468
XB-GENE-1006919,67,41,64,34,64,99
XB-GENE-1006936,67,33,68,51,38,119
XB-GENE-1006950,126,52,96,94,98,131
XB-GENE-1007000,33,31,56,21,32,47
XB-GENE-1007013,30,12,17,23,30,36
XB-GENE-1007026,371,135,134,245,284,343
XB-GENE-1007038,59,22,23,25,26,23
XB-GENE-1007055,543,225,225,362,387,426
XB-GENE-1007091,23,6,6,11,8,19
XB-GENE-1007116,1492,675,1076,1591,1272,2246
XB-GENE-1007143,61,16,17,42,35,55
XB-GENE-1007158,136,63,66,103,118,111
XB-GENE-1007170,96,53,76,73,98,165
XB-GENE-1007182,2,1,0,1,0,4
XB-GENE-1007195,0,0,0,0,4,9
XB-GENE-1007210,38,19,41,39,67,114
XB-GENE-1007229,353,116,185,200,218,418
XB-GENE-1007241,286,213,206,223,340,342
XB-GENE-1007252,212,139,161,149,184,261
XB-GENE-1007263,1,1,9,0,9,9
XB-GENE-1007284,173,80,92,90,117,134
XB-GENE-1007301,158,55,142,89,95,208
XB-GENE-1007318,507,256,303,326,376,580
XB-GENE-1007351,138,67,56,91,79,66
XB-GENE-1007361,2065,660,696,1238,686,1344
XB-GENE-1007380,18,11,9,19,20,33
XB-GENE-1007407,140,51,25,70,62,107
XB-GENE-1007442,177,86,115,137,132,213
XB-GENE-1007455,0,0,0,1,0,3
XB-GENE-1007496,0,0,3,0,2,2
XB-GENE-1007517,35,18,34,25,37,87
XB-GENE-1007528,123,50,84,90,110,130
XB-GENE-1007550,1664,877,1044,1092,1161,1703
XB-GENE-1007563,1,0,1,1,1,0
XB-GENE-1007573,162,57,77,96,95,146
XB-GENE-1007582,27,13,25,13,26,60
XB-GENE-1007591,100,46,70,48,57,134
XB-GENE-1007605,194,129,177,126,180,219
XB-GENE-1007670,845,719,745,719,996,1052
XB-GENE-1007712,108,51,95,70,77,108
XB-GENE-1007734,3,1,4,0,2,22
XB-GENE-1007747,10,8,17,9,16,31
XB-GENE-1007890,194,143,192,126,158,258
XB-GENE-1007899,3,6,4,5,10,5
XB-GENE-1007936,1027,431,671,826,838,1271
XB-GENE-1007957,938,474,542,644,704,894
XB-GENE-1007970,12,3,4,18,18,34
XB-GENE-1007985,764,278,333,494,510,648
XB-GENE-1007998,1062,427,522,790,858,1034
XB-GENE-1008024,468,211,256,189,283,361
XB-GENE-1008056,204,98,92,137,154,185
XB-GENE-1008065,95,40,52,58,56,83
XB-GENE-1008083,84,40,56,46,48,68
XB-GENE-1008117,122,53,48,77,73,94
XB-GENE-1008127,546,218,274,333,354,454
XB-GENE-1008136,104,43,57,70,65,110
XB-GENE-1008149,754,415,898,388,728,795
XB-GENE-1008320,213,97,97,124,126,195
XB-GENE-1008330,139,65,90,92,119,167
XB-GENE-1008343,862,389,591,480,612,881
XB-GENE-1008373,0,0,0,0,0,1
XB-GENE-1008388,5,3,10,1,3,8
XB-GENE-1008405,232,121,184,162,180,260
XB-GENE-1008444,5,0,2,3,0,4
XB-GENE-1008476,45,18,26,26,34,44
