CID,TID,Track Duration (min),Track Length (µm),Meandering Index,Euclidean Distance (µm),Mean Speed (µm/min),Track Present at Start or End?,Track Never Divides/Breaks?,Start Time: Total Time,End Time: Total Time,Track Duration: Total Time
2.0,12.0,1081.0,424.374,0.5632569206091981,239.03159242660786,0.3925753931544866,True,False,0.821969696969697,1.0,0.17803030303030304
3.0,1.0,920.0,472.282,0.7174346670516912,338.8314794245068,0.51335,True,False,0.0,0.15151515151515152,0.15151515151515152
3.0,2.0,2576.0,1207.186,0.6005242360442147,724.9444504132713,0.46862810559006207,False,False,0.1590909090909091,0.5833333333333334,0.42424242424242425
3.0,3.0,2093.0,1140.36,0.022381473255114432,25.52293684120229,0.5448447204968944,False,False,0.1590909090909091,0.5037878787878788,0.3446969696969697
3.0,4.0,2576.0,1207.565,0.29668920315709846,358.27149761040164,0.46877523291925466,False,False,0.5037878787878788,0.928030303030303,0.42424242424242425
3.0,5.0,2990.0,1157.447,0.13997409347654832,162.01259457215042,0.3871060200668896,False,False,0.5037878787878788,0.9962121212121212,0.49242424242424243
3.0,6.0,1012.0,509.618,0.6611621231738573,336.9401188876148,0.5035750988142292,False,False,0.5909090909090909,0.7575757575757576,0.16666666666666666
3.0,7.0,1840.0,946.558,0.165753396411241,156.89520340023148,0.5144336956521739,False,False,0.5909090909090909,0.8939393939393939,0.30303030303030304
3.0,8.0,621.0,350.432,0.8792069742944014,308.1022584159357,0.5643027375201288,True,False,0.8977272727272727,1.0,0.10227272727272728
3.0,9.0,598.0,270.977,0.6644711058454255,180.05638684867583,0.45313879598662204,False,False,0.8977272727272727,0.9962121212121212,0.09848484848484848
4.0,1.0,713.0,413.709,0.48578187034770415,200.97233179967833,0.5802370266479664,True,False,0.0,0.11742424242424243,0.11742424242424243
4.0,2.0,1311.0,513.025,0.5641921152811337,289.4446599421036,0.391323417238749,False,False,0.12121212121212122,0.3371212121212121,0.2159090909090909
4.0,3.0,1219.0,316.408,0.49668010830424986,157.1535597083311,0.2595635767022149,False,False,0.12121212121212122,0.32196969696969696,0.20075757575757575
