CID	TID	track.duration	track.length	meandering.index	euclidean.distance	mean.speed	track.present.at.start.or.end	track.never.divides	start.time.total.time	end.time.total.time	track.duration.total.time	cell.line
2	2	1380	400.391	0.19654730293572928	78.69577116973959	0.2901384057971015	FALSE	FALSE	0.2433460076045627	0.4714828897338403	0.22813688212927755	B2
2	3	2185	669.681	0.07431983684295435	49.77058265682651	0.3064901601830664	FALSE	FALSE	0.2433460076045627	0.6045627376425855	0.3612167300380228	B2
2	4	2438	607.918	0.25166402908651175	152.99109323421405	0.24935110746513536	FALSE	FALSE	0.4752851711026616	0.8783269961977186	0.40304182509505704	B2
2	5	3105	638.444	0.10917061853702129	69.69932638125002	0.20561803542673107	FALSE	FALSE	0.4752851711026616	0.988593155893536	0.5133079847908745	B2
2	6	1242	289.27	0.4127945853647014	119.40908970844715	0.23290660225442833	FALSE	FALSE	0.6083650190114068	0.8136882129277566	0.20532319391634984	B2
2	7	1081	315.438	0.6505680465046617	205.21388345333747	0.2918020351526364	FALSE	FALSE	0.6083650190114068	0.7870722433460076	0.17870722433460076	B2
2	8	690	238.344	0.9013717027420048	214.83653711834037	0.3454260869565217	FALSE	FALSE	0.8821292775665399	0.9961977186311788	0.1140684410646388	B2
2	9	713	184.837	0.3976944514410819	73.50864932101526	0.2592384291725105	TRUE	FALSE	0.8821292775665399	1	0.11787072243346008	B2
2	10	23	5.494	1.0000743577351423	5.494408521396871	0.2388695652173913	FALSE	FALSE	0.9923954372623576	0.9961977186311788	0.00380228136882129	B2
2	11	23	13.554	1.0000038348219298	13.554051977176435	0.589304347826087	FALSE	FALSE	0.9923954372623576	0.9961977186311788	0.00380228136882129	B2
2	12	1081	246.985	0.7121549474412034	175.89158969376564	0.22847826086956524	FALSE	FALSE	0.8174904942965779	0.9961977186311788	0.17870722433460076	B2
2	13	1081	303.637	0.7464521491689236	226.65049121720443	0.28088529139685475	FALSE	FALSE	0.8174904942965779	0.9961977186311788	0.17870722433460076	B2
2	14	1265	385.837	0.3204602190529393	123.64540953872894	0.30500948616600787	TRUE	FALSE	0.7908745247148289	1	0.20912547528517111	B2
2	15	1265	448.364	0.06034458159457485	27.05633798206996	0.3544379446640316	TRUE	FALSE	0.7908745247148289	1	0.20912547528517111	B2
3	1	2116	715.054	0.5216243845070012	372.98960263926926	0.3379272211720227	TRUE	FALSE	0	0.34980988593155893	0.34980988593155893	B2
3	2	2001	310.422	0.40978150698320503	127.20519496074049	0.15513343328335832	FALSE	FALSE	0.35361216730038025	0.6844106463878327	0.33079847908745247	B2
3	3	2300	534.598	0.386031871694904	206.37186654435223	0.23243391304347824	FALSE	FALSE	0.35361216730038025	0.7338403041825095	0.38022813688212925	B2
3	4	1886	316.44	0.055983630922185	17.71546016901622	0.16778366914103923	TRUE	FALSE	0.688212927756654	1	0.311787072243346	B2
3	5	736	148.675	0.0509849315239262	7.580184694319728	0.20200407608695653	FALSE	FALSE	0.688212927756654	0.8098859315589354	0.12167300380228135	B2
3	6	1587	169.952	0.6124188389813703	104.08180652256183	0.10709010712035288	TRUE	FALSE	0.7376425855513308	1	0.2623574144486692	B2
3	7	1587	292.777	0.18124736011685055	53.06505835293116	0.18448456206679267	TRUE	FALSE	0.7376425855513308	1	0.2623574144486692	B2
